其他频道,#genre#
CHC家庭影院,http://123.13.24.224:9992/tsfile/live/1077_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://123.13.24.224:9992/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV热播剧场,http://123.13.24.224:9992/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV热播剧场,http://113.109.117.193:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV热播剧场,http://113.109.117.92:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV热播剧场,http://219.137.230.245:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV相声小品,http://123.13.24.224:9992/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV经典电影,http://123.13.24.224:9992/tsfile/live/1080_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV谍战剧场,http://123.13.24.224:9992/tsfile/live/1081_1.m3u8?key=txiptv&playlive=1&authid=0
河南电视剧,http://1.194.52.10:10086/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
河南电视剧,http://182.122.73.43:10086/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
河南电视剧,http://123.13.24.224:9992/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://116.128.242.83:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
潇湘电影,http://116.128.242.83:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
热播剧场,http://182.122.73.43:10086/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
热播剧场,http://1.194.52.10:10086/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
相声小品,http://1.194.52.10:10086/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
相声小品,http://182.122.73.43:10086/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://123.189.36.103:9901/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://121.24.98.214:9901/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://27.8.233.175:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://113.57.20.158:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://1.194.52.10:10086/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://182.122.73.43:10086/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://123.13.24.224:9992/tsfile/live/1083_1.m3u8?key=txiptv&playlive=1&authid=0

08月01日17时,#genre#

CCTV1,http://58.210.60.226:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
